GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
StackAr,org.autotest.mutantGenerator.operators.binary,ConditionalsBoundaryMutator,102,0,9,0,21,0,11,0,5,0
StackAr,org.autotest.mutantGenerator.operators.binary,MathMutator,144,0,16,0,28,0,18,0,5,0
StackAr,org.autotest.mutantGenerator.operators.binary,NegateConditionsMutator,114,0,11,0,23,0,13,0,5,0
StackAr,org.autotest.helpers,UnaryOperatorKindToString,22,0,7,0,9,0,8,0,2,0
StackAr,org.autotest.helpers,BinaryOperatorKindToString,46,0,19,0,21,0,20,0,2,0
StackAr,org.autotest.mutantGenerator.operators.unary,IncrementsMutator,96,0,9,0,20,0,11,0,5,0
StackAr,org.autotest,Stack,0,3,0,0,0,1,0,1,0,1
StackAr,org.autotest,StackAr,36,219,8,32,11,51,9,23,1,11
StackAr,org.autotest.mutantGenerator.operators.conditionals,TrueConditionalsMutator,55,0,4,0,13,0,6,0,4,0
StackAr,org.autotest.mutantGenerator.operators.conditionals,FalseConditionalsMutator,55,0,4,0,13,0,6,0,4,0
StackAr,org.autotest.mutantGenerator,Main,130,0,6,0,29,0,6,0,3,0
StackAr,org.autotest.mutantGenerator,MutantsGenerator,64,0,2,0,16,0,4,0,3,0
StackAr,org.autotest.mutantGenerator,Mutant,170,0,6,0,25,0,8,0,5,0
StackAr,org.autotest.mutantGenerator.operators.returns,TrueReturnsMutator,95,0,6,0,20,0,9,0,6,0
StackAr,org.autotest.mutantGenerator.operators.returns,EmptyReturnsMutator,110,0,7,0,22,0,10,0,6,0
StackAr,org.autotest.mutantGenerator.operators.returns,NullReturnsMutator,80,0,6,0,17,0,9,0,6,0
StackAr,org.autotest.mutantGenerator.operators.returns,FalseReturnsMutator,95,0,6,0,20,0,9,0,6,0
StackAr,org.autotest.mutants,StackArMutated8726,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated4369,203,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated3437,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated2628,199,0,24,0,55,0,24,0,12,0
StackAr,org.autotest.mutants,StackArMutated9389,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated8498,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated8771,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated8573,197,0,24,0,55,0,24,0,12,0
StackAr,org.autotest.mutants,StackArMutated7684,188,0,24,0,53,0,24,0,12,0
StackAr,org.autotest.mutants,StackArMutated7442,205,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated8975,199,0,24,0,57,0,24,0,12,0
StackAr,org.autotest.mutants,StackArMutated4012,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated3881,193,0,24,0,54,0,24,0,12,0
StackAr,org.autotest.mutants,StackArMutated4134,196,0,24,0,55,0,24,0,12,0
StackAr,org.autotest.mutants,StackArMutated4410,197,0,24,0,55,0,24,0,12,0
StackAr,org.autotest.mutants,StackArMutated936,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated9226,197,0,24,0,55,0,24,0,12,0
StackAr,org.autotest.mutants,StackArMutated4773,197,0,24,0,55,0,24,0,12,0
StackAr,org.autotest.mutants,StackArMutated4774,196,0,24,0,57,0,24,0,12,0
StackAr,org.autotest.mutants,StackArMutated1187,205,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated215,174,0,18,0,48,0,21,0,12,0
StackAr,org.autotest.mutants,StackArMutated2117,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated3007,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated2676,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated2399,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated8979,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated4853,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated3448,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated5902,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated3602,205,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated4737,169,0,16,0,46,0,20,0,12,0
StackAr,org.autotest.mutants,StackArMutated7133,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated7011,198,0,24,0,55,0,24,0,12,0
StackAr,org.autotest.mutants,StackArMutated7693,190,0,24,0,53,0,24,0,12,0
StackAr,org.autotest.mutants,StackArMutated6166,189,0,22,0,53,0,23,0,12,0
StackAr,org.autotest.mutants,StackArMutated8662,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated9998,205,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated8588,196,0,24,0,57,0,24,0,12,0
StackAr,org.autotest.mutants,StackArMutated4465,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated7974,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated8468,201,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated1110,197,0,24,0,55,0,24,0,12,0
StackAr,org.autotest.mutants,StackArMutated9196,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated8908,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated2842,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated1598,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated6128,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated4666,178,0,20,0,50,0,22,0,12,0
StackAr,org.autotest.mutants,StackArMutated3338,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated8597,202,0,24,0,56,0,24,0,12,0
StackAr,org.autotest.mutants,StackArMutated6099,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated8359,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated8877,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated5324,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated3101,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated3221,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated4192,200,0,24,0,55,0,24,0,12,0
StackAr,org.autotest.mutants,StackArMutated433,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated8592,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated1645,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated1205,198,0,24,0,55,0,24,0,12,0
StackAr,org.autotest.mutants,StackArMutated91,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated90,203,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated6737,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated7509,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated4121,197,0,24,0,55,0,24,0,12,0
StackAr,org.autotest.mutants,StackArMutated9410,197,0,24,0,54,0,24,0,12,0
StackAr,org.autotest.mutants,StackArMutated6188,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated9652,204,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated821,205,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutants,StackArMutated9053,199,0,24,0,57,0,24,0,12,0
StackAr,org.autotest.mutants,StackArMutated48,205,0,26,0,57,0,25,0,12,0
StackAr,org.autotest.mutantGenerator.operators.constants,ZeroConstantMutator,87,0,10,0,21,0,9,0,4,0
StackAr,org.autotest.mutantGenerator.operators.constants,OneConstantMutator,87,0,10,0,21,0,9,0,4,0
StackAr,org.autotest.mutantGenerator.operators.constants,MinusOneConstantMutator,89,0,8,0,22,0,9,0,5,0
StackAr,org.autotest.mutantGenerator.operators,MutationOperator,116,0,12,0,25,0,10,0,4,0
